Class,Precision,Recall,F1,Support
Cabbage__Alternaria_Spot,0.8181818181818182,0.75,0.7826086956022683,12
Cabbage__Black_Rot,0.8571428571428571,0.8571428571428571,0.8571428570928571,7
Cabbage__Downy_Mildew,0.4,0.6666666666666666,0.499999999953125,3
Cabbage__Healthy_Leaf,0.7272727272727273,0.8,0.7619047618548753,10
Cauliflower__Alternaria_Disease,0.9814814814814815,1.0,0.9906542055574811,53
Cauliflower__Bacterial_Soft_Rot,1.0,0.96875,0.9841269840769967,32
Cauliflower__Bacterial_Spot,0.9838709677419355,1.0,0.9918699186491903,61
Cauliflower__Black_Spot,1.0,1.0,0.99999999995,39
Cauliflower__Downy_Mildew,0.9838709677419355,0.9682539682539683,0.9759999999500031,63
Cauliflower__Healthy,1.0,0.9856115107913669,0.9927536231384083,139
Cauliflower__Nutrient_Deficiency,1.0,1.0,0.99999999995,24
