epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,60.6848,0.45597,0.88138,0.99514,0.373,0.000331492,0.000331492,0.0671823
2,115.569,0.1898,0.95992,0.9996,0.12899,0.000664374,0.000664374,0.0341819
3,169.948,0.17333,0.93563,0.99798,0.25416,0.000995452,0.000995452,0.00117961
4,223.914,0.1982,0.95425,0.99838,0.14639,0.000993906,0.000993906,0.000993906
5,278.641,0.13352,0.96559,0.9996,0.11686,0.000989183,0.000989183,0.000989183
6,334.561,0.13618,0.97814,0.9996,0.0669,0.000983133,0.000983133,0.000983133
7,388.99,0.13783,0.95911,0.9996,0.13787,0.000975773,0.000975773,0.000975773
8,445.304,0.13535,0.95101,0.9996,0.18159,0.000967122,0.000967122,0.000967122
9,499.96,0.10754,0.97409,0.99838,0.08654,0.000957205,0.000957205,0.000957205
10,553.256,0.08988,0.97045,1,0.10833,0.000946048,0.000946048,0.000946048
11,607.404,0.08341,0.97976,0.9996,0.09186,0.000933683,0.000933683,0.000933683
12,661.743,0.10868,0.98057,1,0.06126,0.000920142,0.000920142,0.000920142
13,715.082,0.09865,0.98138,1,0.07401,0.000905463,0.000905463,0.000905463
14,769.265,0.07018,0.98462,0.9996,0.05379,0.000889687,0.000889687,0.000889687
15,822.382,0.06405,0.97247,1,0.11417,0.000872857,0.000872857,0.000872857
16,876.055,0.07121,0.98745,0.9996,0.04803,0.000855018,0.000855018,0.000855018
17,931.285,0.07931,0.98664,1,0.0488,0.00083622,0.00083622,0.00083622
18,986.904,0.09721,0.97814,1,0.07529,0.000816514,0.000816514,0.000816514
19,1040.41,0.05206,0.98907,1,0.0375,0.000795954,0.000795954,0.000795954
20,1093.22,0.05456,0.98259,0.9996,0.07218,0.000774596,0.000774596,0.000774596
21,1146.63,0.05144,0.98947,1,0.04834,0.0007525,0.0007525,0.0007525
22,1200.2,0.07287,0.98785,0.9996,0.04435,0.000729725,0.000729725,0.000729725
23,1254.84,0.05929,0.99028,1,0.03807,0.000706335,0.000706335,0.000706335
24,1311.5,0.06835,0.98138,1,0.06715,0.000682392,0.000682392,0.000682392
25,1366.07,0.04399,0.98866,0.9996,0.04052,0.000657963,0.000657963,0.000657963
26,1420.73,0.05349,0.98785,0.9996,0.04471,0.000633115,0.000633115,0.000633115
27,1474.95,0.03346,0.9915,1,0.04678,0.000607916,0.000607916,0.000607916
28,1529.44,0.03385,0.9915,0.9996,0.03421,0.000582435,0.000582435,0.000582435
29,1583.16,0.02751,0.99393,0.9996,0.02469,0.000556742,0.000556742,0.000556742
30,1636.7,0.02851,0.99109,0.9996,0.0367,0.000530906,0.000530906,0.000530906
31,1691.29,0.02386,0.99231,0.9996,0.03819,0.000505,0.000505,0.000505
32,1745.29,0.0394,0.99231,0.9996,0.0308,0.000479094,0.000479094,0.000479094
33,1799.77,0.03461,0.99271,0.9996,0.03422,0.000453258,0.000453258,0.000453258
34,1853.62,0.03606,0.9919,0.9996,0.03703,0.000427565,0.000427565,0.000427565
35,1907.56,0.03194,0.99393,0.9996,0.02862,0.000402084,0.000402084,0.000402084
36,1961.64,0.02352,0.99514,0.9996,0.02277,0.000376885,0.000376885,0.000376885
37,2015.24,0.03052,0.99352,0.9996,0.03286,0.000352037,0.000352037,0.000352037
38,2069.08,0.02045,0.9919,0.9996,0.03182,0.000327608,0.000327608,0.000327608
39,2123.48,0.0157,0.99433,0.9996,0.02485,0.000303665,0.000303665,0.000303665
40,2176.93,0.01425,0.99514,0.9996,0.03028,0.000280275,0.000280275,0.000280275
41,2230.82,0.01143,0.99555,0.9996,0.02157,0.0002575,0.0002575,0.0002575
42,2285.1,0.01442,0.99393,0.9996,0.04059,0.000235404,0.000235404,0.000235404
43,2338.93,0.01939,0.99271,0.9996,0.03069,0.000214046,0.000214046,0.000214046
44,2392.61,0.01969,0.99271,0.9996,0.03823,0.000193486,0.000193486,0.000193486
45,2446.52,0.0117,0.99312,1,0.03456,0.00017378,0.00017378,0.00017378
46,2500.4,0.01128,0.9919,1,0.03947,0.000154982,0.000154982,0.000154982
47,2554.79,0.00842,0.99393,0.9996,0.03897,0.000137143,0.000137143,0.000137143
48,2609.11,0.00944,0.99393,0.9996,0.03303,0.000120313,0.000120313,0.000120313
49,2662.91,0.00739,0.99352,0.9996,0.03371,0.000104537,0.000104537,0.000104537
50,2716.82,0.0077,0.99393,0.9996,0.03085,8.98581e-05,8.98581e-05,8.98581e-05
51,2774.1,0.00785,0.99433,0.9996,0.03063,7.63174e-05,7.63174e-05,7.63174e-05
52,2830.11,0.00567,0.99433,0.9996,0.03,6.39518e-05,6.39518e-05,6.39518e-05
53,2884.31,0.0069,0.99474,0.9996,0.02866,5.2795e-05,5.2795e-05,5.2795e-05
54,2938.31,0.00556,0.99474,0.9996,0.0288,4.28777e-05,4.28777e-05,4.28777e-05
55,2992.59,0.00761,0.99474,0.9996,0.02767,3.4227e-05,3.4227e-05,3.4227e-05
56,3046.37,0.00564,0.99514,0.9996,0.02772,2.68667e-05,2.68667e-05,2.68667e-05
