epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.846,0.78204,0.83805,1,0.46037,0.00594643,0.00198214,0.00594643,0.00198214,0.00594643,0.00198214,0.00594643,0.00198214
2,71.2458,0.34879,0.88585,1,0.24218,0.0118282,0.00394272,0.0118282,0.00394272,0.0118282,0.00394272,0.0118282,0.00394272
3,106.371,0.2226,0.89561,1,0.23123,0.0175911,0.0058637,0.0175911,0.0058637,0.0175911,0.0058637,0.0175911,0.0058637
4,141.332,0.17735,0.92878,1,0.15071,0.0232352,0.00774507,0.0232352,0.00774507,0.0232352,0.00774507,0.0232352,0.00774507
5,176.397,0.16213,0.8761,1,0.33251,0.0287605,0.00958685,0.0287605,0.00958685,0.0287605,0.00958685,0.0287605,0.00958685
6,211.51,0.16645,0.90927,1,0.22934,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,246.178,0.15005,0.89073,1,0.61631,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,280.833,0.15255,0.91024,1,0.22321,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,316.196,0.12855,0.91805,1,0.19493,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,350.736,0.1185,0.93268,1,0.13988,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,385.34,0.11307,0.88976,1,0.30006,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,419.736,0.10469,0.92293,1,0.22237,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,454.103,0.09648,0.93951,1,0.43173,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,488.196,0.08954,0.9122,1,0.22866,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
