epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.0193,1.23091,0.69413,0.98876,0.84546,0.000330484,0.000330484,0.0672821
2,32.5149,0.90373,0.73783,0.98876,0.79565,0.000663564,0.000663564,0.0342818
3,47.9103,0.88943,0.72285,0.98876,0.8042,0.000995629,0.000995629,0.00128053
4,63.4887,0.88519,0.74282,0.98752,0.75242,0.000996569,0.000996569,0.000996569
5,79.0815,0.766,0.77653,0.99501,0.62539,0.000993906,0.000993906,0.000993906
6,94.4829,0.73357,0.77528,0.99625,0.6113,0.000990489,0.000990489,0.000990489
7,110.101,0.71068,0.75905,0.99625,0.65936,0.000986323,0.000986323,0.000986323
8,125.237,0.65687,0.79401,0.99875,0.52297,0.000981415,0.000981415,0.000981415
9,140.838,0.63803,0.8377,0.9975,0.50464,0.000975773,0.000975773,0.000975773
10,156.5,0.58594,0.78777,0.99251,0.60776,0.000969405,0.000969405,0.000969405
11,172.286,0.56773,0.82522,0.9975,0.49145,0.00096232,0.00096232,0.00096232
12,188.045,0.58995,0.82022,0.99501,0.51892,0.000954531,0.000954531,0.000954531
13,204.019,0.5243,0.83521,0.99625,0.47188,0.000946048,0.000946048,0.000946048
14,219.822,0.53401,0.80774,0.9975,0.51577,0.000936886,0.000936886,0.000936886
15,235.673,0.50482,0.83521,0.9975,0.48896,0.000927057,0.000927057,0.000927057
16,251.404,0.49265,0.82647,0.9975,0.48177,0.000916577,0.000916577,0.000916577
17,267.049,0.5147,0.83645,0.99376,0.46933,0.000905463,0.000905463,0.000905463
18,282.531,0.46827,0.84894,0.99625,0.43793,0.000893732,0.000893732,0.000893732
19,298.189,0.45832,0.85019,0.9975,0.48723,0.000881401,0.000881401,0.000881401
20,313.804,0.45218,0.85144,0.99875,0.44485,0.00086849,0.00086849,0.00086849
21,329.376,0.43036,0.8402,0.99875,0.4578,0.000855018,0.000855018,0.000855018
22,344.864,0.40946,0.86392,0.99625,0.35952,0.000841006,0.000841006,0.000841006
23,360.463,0.41499,0.86392,0.99875,0.40796,0.000826477,0.000826477,0.000826477
24,376.088,0.36251,0.85019,0.99251,0.41009,0.000811452,0.000811452,0.000811452
25,391.262,0.38934,0.85643,0.99625,0.3984,0.000795954,0.000795954,0.000795954
26,406.61,0.38572,0.87765,0.9975,0.37429,0.000780007,0.000780007,0.000780007
27,421.984,0.35551,0.85393,0.99625,0.4324,0.000763637,0.000763637,0.000763637
28,437.374,0.36346,0.8814,0.9975,0.3884,0.000746868,0.000746868,0.000746868
29,452.975,0.35171,0.8839,0.99625,0.39653,0.000729725,0.000729725,0.000729725
30,468.555,0.34463,0.86642,0.99875,0.40446,0.000712237,0.000712237,0.000712237
31,484.003,0.33365,0.8839,0.99875,0.35936,0.000694428,0.000694428,0.000694428
32,499.567,0.31819,0.89139,0.99625,0.3378,0.000676328,0.000676328,0.000676328
33,514.803,0.3046,0.87266,0.99875,0.39417,0.000657963,0.000657963,0.000657963
34,530.05,0.28229,0.88265,0.99625,0.38665,0.000639363,0.000639363,0.000639363
35,545.198,0.28922,0.88764,0.99875,0.33416,0.000620555,0.000620555,0.000620555
36,560.55,0.27021,0.89513,0.99875,0.32589,0.00060157,0.00060157,0.00060157
37,575.97,0.26279,0.88639,0.99875,0.35786,0.000582435,0.000582435,0.000582435
38,591.299,0.28878,0.88764,0.9975,0.32339,0.000563181,0.000563181,0.000563181
39,606.578,0.27784,0.89139,0.9975,0.37301,0.000543837,0.000543837,0.000543837
40,621.704,0.24403,0.90262,0.9975,0.30059,0.000524434,0.000524434,0.000524434
41,637.162,0.24139,0.90262,0.9975,0.29496,0.000505,0.000505,0.000505
42,652.539,0.23192,0.91136,0.9975,0.2946,0.000485566,0.000485566,0.000485566
43,668.055,0.22412,0.89513,0.99625,0.34298,0.000466163,0.000466163,0.000466163
44,683.737,0.21198,0.89888,0.99875,0.30997,0.000446819,0.000446819,0.000446819
