confidence_threshold,margin_threshold,total_evaluated,auto_accept_count,auto_accept_rate_pct,correct_auto_accept,wrong_auto_accept_unsafe,unsafe_auto_routing_rate_pct,unsafe_of_accepted_pct,farmer_clarification_count,clarification_rate_pct,ood_rejected_count
0.4,0.05,350,348,99.43,291,57,16.29,16.38,1,0.29,1
0.4,0.1,350,345,98.57,290,55,15.71,15.94,4,1.14,1
0.4,0.15,350,342,97.71,287,55,15.71,16.08,7,2.0,1
0.4,0.2,350,338,96.57,286,52,14.86,15.38,11,3.14,1
0.4,0.25,350,333,95.14,282,51,14.57,15.32,16,4.57,1
0.4,0.3,350,329,94.0,280,49,14.0,14.89,20,5.71,1
0.5,0.05,350,344,98.29,291,53,15.14,15.41,5,1.43,1
0.5,0.1,350,342,97.71,290,52,14.86,15.2,7,2.0,1
0.5,0.15,350,339,96.86,287,52,14.86,15.34,10,2.86,1
0.5,0.2,350,337,96.29,286,51,14.57,15.13,12,3.43,1
0.5,0.25,350,333,95.14,282,51,14.57,15.32,16,4.57,1
0.5,0.3,350,329,94.0,280,49,14.0,14.89,20,5.71,1
0.6,0.05,350,335,95.71,284,51,14.57,15.22,14,4.0,1
0.6,0.1,350,335,95.71,284,51,14.57,15.22,14,4.0,1
0.6,0.15,350,335,95.71,284,51,14.57,15.22,14,4.0,1
0.6,0.2,350,335,95.71,284,51,14.57,15.22,14,4.0,1
0.6,0.25,350,332,94.86,281,51,14.57,15.36,17,4.86,1
0.6,0.3,350,329,94.0,280,49,14.0,14.89,20,5.71,1
0.7,0.05,350,321,91.71,276,45,12.86,14.02,28,8.0,1
0.7,0.1,350,321,91.71,276,45,12.86,14.02,28,8.0,1
0.7,0.15,350,321,91.71,276,45,12.86,14.02,28,8.0,1
0.7,0.2,350,321,91.71,276,45,12.86,14.02,28,8.0,1
0.7,0.25,350,321,91.71,276,45,12.86,14.02,28,8.0,1
0.7,0.3,350,321,91.71,276,45,12.86,14.02,28,8.0,1
0.75,0.05,350,315,90.0,273,42,12.0,13.33,34,9.71,1
0.75,0.1,350,315,90.0,273,42,12.0,13.33,34,9.71,1
0.75,0.15,350,315,90.0,273,42,12.0,13.33,34,9.71,1
0.75,0.2,350,315,90.0,273,42,12.0,13.33,34,9.71,1
0.75,0.25,350,315,90.0,273,42,12.0,13.33,34,9.71,1
0.75,0.3,350,315,90.0,273,42,12.0,13.33,34,9.71,1
0.8,0.05,350,310,88.57,271,39,11.14,12.58,39,11.14,1
0.8,0.1,350,310,88.57,271,39,11.14,12.58,39,11.14,1
0.8,0.15,350,310,88.57,271,39,11.14,12.58,39,11.14,1
0.8,0.2,350,310,88.57,271,39,11.14,12.58,39,11.14,1
0.8,0.25,350,310,88.57,271,39,11.14,12.58,39,11.14,1
0.8,0.3,350,310,88.57,271,39,11.14,12.58,39,11.14,1
0.82,0.05,350,305,87.14,268,37,10.57,12.13,44,12.57,1
0.82,0.1,350,305,87.14,268,37,10.57,12.13,44,12.57,1
0.82,0.15,350,305,87.14,268,37,10.57,12.13,44,12.57,1
0.82,0.2,350,305,87.14,268,37,10.57,12.13,44,12.57,1
0.82,0.25,350,305,87.14,268,37,10.57,12.13,44,12.57,1
0.82,0.3,350,305,87.14,268,37,10.57,12.13,44,12.57,1
0.85,0.05,350,298,85.14,264,34,9.71,11.41,51,14.57,1
0.85,0.1,350,298,85.14,264,34,9.71,11.41,51,14.57,1
0.85,0.15,350,298,85.14,264,34,9.71,11.41,51,14.57,1
0.85,0.2,350,298,85.14,264,34,9.71,11.41,51,14.57,1
0.85,0.25,350,298,85.14,264,34,9.71,11.41,51,14.57,1
0.85,0.3,350,298,85.14,264,34,9.71,11.41,51,14.57,1
0.88,0.05,350,294,84.0,260,34,9.71,11.56,55,15.71,1
0.88,0.1,350,294,84.0,260,34,9.71,11.56,55,15.71,1
0.88,0.15,350,294,84.0,260,34,9.71,11.56,55,15.71,1
0.88,0.2,350,294,84.0,260,34,9.71,11.56,55,15.71,1
0.88,0.25,350,294,84.0,260,34,9.71,11.56,55,15.71,1
0.88,0.3,350,294,84.0,260,34,9.71,11.56,55,15.71,1
0.9,0.05,350,286,81.71,256,30,8.57,10.49,63,18.0,1
0.9,0.1,350,286,81.71,256,30,8.57,10.49,63,18.0,1
0.9,0.15,350,286,81.71,256,30,8.57,10.49,63,18.0,1
0.9,0.2,350,286,81.71,256,30,8.57,10.49,63,18.0,1
0.9,0.25,350,286,81.71,256,30,8.57,10.49,63,18.0,1
0.9,0.3,350,286,81.71,256,30,8.57,10.49,63,18.0,1
0.92,0.05,350,283,80.86,254,29,8.29,10.25,66,18.86,1
0.92,0.1,350,283,80.86,254,29,8.29,10.25,66,18.86,1
0.92,0.15,350,283,80.86,254,29,8.29,10.25,66,18.86,1
0.92,0.2,350,283,80.86,254,29,8.29,10.25,66,18.86,1
0.92,0.25,350,283,80.86,254,29,8.29,10.25,66,18.86,1
0.92,0.3,350,283,80.86,254,29,8.29,10.25,66,18.86,1
0.95,0.05,350,282,80.57,253,29,8.29,10.28,67,19.14,1
0.95,0.1,350,282,80.57,253,29,8.29,10.28,67,19.14,1
0.95,0.15,350,282,80.57,253,29,8.29,10.28,67,19.14,1
0.95,0.2,350,282,80.57,253,29,8.29,10.28,67,19.14,1
0.95,0.25,350,282,80.57,253,29,8.29,10.28,67,19.14,1
0.95,0.3,350,282,80.57,253,29,8.29,10.28,67,19.14,1
