confidence_threshold,margin_threshold,total_evaluated,auto_accept_count,auto_accept_rate_pct,correct_auto_accept,wrong_auto_accept_unsafe,unsafe_auto_routing_rate_pct,second_image_requested,unrecognized_count
0.4,0.05,243,241,99.18,171,70,28.81,1,1
0.4,0.1,243,241,99.18,171,70,28.81,1,1
0.4,0.15,243,241,99.18,171,70,28.81,1,1
0.4,0.2,243,241,99.18,171,70,28.81,2,0
0.4,0.25,243,241,99.18,171,70,28.81,2,0
0.4,0.3,243,241,99.18,171,70,28.81,2,0
0.5,0.05,243,237,97.53,170,67,27.57,1,5
0.5,0.1,243,237,97.53,170,67,27.57,1,5
0.5,0.15,243,237,97.53,170,67,27.57,4,2
0.5,0.2,243,237,97.53,170,67,27.57,5,1
0.5,0.25,243,237,97.53,170,67,27.57,5,1
0.5,0.3,243,237,97.53,170,67,27.57,5,1
0.6,0.05,243,227,93.42,167,60,24.69,1,15
0.6,0.1,243,227,93.42,167,60,24.69,3,13
0.6,0.15,243,227,93.42,167,60,24.69,7,9
0.6,0.2,243,227,93.42,167,60,24.69,9,7
0.6,0.25,243,227,93.42,167,60,24.69,10,6
0.6,0.3,243,227,93.42,167,60,24.69,12,4
0.7,0.05,243,218,89.71,165,53,21.81,1,24
0.7,0.1,243,218,89.71,165,53,21.81,3,22
0.7,0.15,243,218,89.71,165,53,21.81,7,18
0.7,0.2,243,218,89.71,165,53,21.81,9,16
0.7,0.25,243,218,89.71,165,53,21.81,10,15
0.7,0.3,243,218,89.71,165,53,21.81,14,11
0.75,0.05,243,214,88.07,164,50,20.58,1,28
0.75,0.1,243,214,88.07,164,50,20.58,3,26
0.75,0.15,243,214,88.07,164,50,20.58,7,22
0.75,0.2,243,214,88.07,164,50,20.58,9,20
0.75,0.25,243,214,88.07,164,50,20.58,10,19
0.75,0.3,243,214,88.07,164,50,20.58,14,15
0.8,0.05,243,211,86.83,163,48,19.75,1,31
0.8,0.1,243,211,86.83,163,48,19.75,3,29
0.8,0.15,243,211,86.83,163,48,19.75,7,25
0.8,0.2,243,211,86.83,163,48,19.75,9,23
0.8,0.25,243,211,86.83,163,48,19.75,10,22
0.8,0.3,243,211,86.83,163,48,19.75,14,18
0.82,0.05,243,208,85.6,162,46,18.93,1,34
0.82,0.1,243,208,85.6,162,46,18.93,3,32
0.82,0.15,243,208,85.6,162,46,18.93,7,28
0.82,0.2,243,208,85.6,162,46,18.93,9,26
0.82,0.25,243,208,85.6,162,46,18.93,10,25
0.82,0.3,243,208,85.6,162,46,18.93,14,21
0.85,0.05,243,203,83.54,159,44,18.11,1,39
0.85,0.1,243,203,83.54,159,44,18.11,3,37
0.85,0.15,243,203,83.54,159,44,18.11,7,33
0.85,0.2,243,203,83.54,159,44,18.11,9,31
0.85,0.25,243,203,83.54,159,44,18.11,10,30
0.85,0.3,243,203,83.54,159,44,18.11,14,26
0.88,0.05,243,198,81.48,157,41,16.87,1,44
0.88,0.1,243,198,81.48,157,41,16.87,3,42
0.88,0.15,243,198,81.48,157,41,16.87,7,38
0.88,0.2,243,198,81.48,157,41,16.87,9,36
0.88,0.25,243,198,81.48,157,41,16.87,10,35
0.88,0.3,243,198,81.48,157,41,16.87,14,31
0.9,0.05,243,194,79.84,157,37,15.23,1,48
0.9,0.1,243,194,79.84,157,37,15.23,3,46
0.9,0.15,243,194,79.84,157,37,15.23,7,42
0.9,0.2,243,194,79.84,157,37,15.23,9,40
0.9,0.25,243,194,79.84,157,37,15.23,10,39
0.9,0.3,243,194,79.84,157,37,15.23,14,35
0.92,0.05,243,193,79.42,157,36,14.81,1,49
0.92,0.1,243,193,79.42,157,36,14.81,3,47
0.92,0.15,243,193,79.42,157,36,14.81,7,43
0.92,0.2,243,193,79.42,157,36,14.81,9,41
0.92,0.25,243,193,79.42,157,36,14.81,10,40
0.92,0.3,243,193,79.42,157,36,14.81,14,36
0.95,0.05,243,189,77.78,154,35,14.4,1,53
0.95,0.1,243,189,77.78,154,35,14.4,3,51
0.95,0.15,243,189,77.78,154,35,14.4,7,47
0.95,0.2,243,189,77.78,154,35,14.4,9,45
0.95,0.25,243,189,77.78,154,35,14.4,10,44
0.95,0.3,243,189,77.78,154,35,14.4,14,40
